date,symbol,Short Percentage Of Float
01/12/04,A,1.95
01/12/04,AAME,0.03
01/12/04,AAON,0.3
01/12/04,AAP,3.66
01/12/04,AAPL,3.82
01/12/04,AB,1.61
01/12/04,ABAX,3.82
01/12/04,ABC,4.88
01/12/04,ABCB,0.26
01/12/04,ABCO,6.54
01/12/04,ABEO,1
01/12/04,ABG,0.37
01/12/04,ABIO,0.57
01/12/04,ABM,1.05
01/12/04,ABMD,7.86
01/12/04,ABT,0.38
01/12/04,ABTL,3.11
01/12/04,ACAS,10.99
01/12/04,ACAT,1.62
01/12/04,ACET,1.84
01/12/04,ACFN,0.02
01/12/04,ACGL,1.5
01/12/04,ACIW,1.35
01/12/04,ACLS,2.19
01/12/04,ACN,0.43
01/12/04,ACTA,1.21
01/12/04,ACTG,0.85
01/12/04,ACU,0.28
01/12/04,ACXM,5.67
01/12/04,ACY,0.05
01/12/04,ADAT,13.86
01/12/04,ADBE,4.39
01/12/04,ADC,0.18
01/12/04,ADI,1.78
01/12/04,ADM,0.59
01/12/04,ADMP,0.56
01/12/04,ADP,1.09
01/12/04,ADS,1.22
01/12/04,ADSK,1.58
01/12/04,ADTN,7.49
01/12/04,ADVS,5.04
01/12/04,AEE,2.35
01/12/04,AEGN,10.29
01/12/04,AEHR,0.2
01/12/04,AEIS,7.41
01/12/04,AEL,1.07
01/12/04,AEO,8.23
01/12/04,AEP,3.47
01/12/04,AEPI,0.76
01/12/04,AES,1.45
01/12/04,AET,1.52
01/12/04,AETI,0.96
01/12/04,AF,2.83
01/12/04,AFAM,0.09
01/12/04,AFFX,16.56
01/12/04,AFG,3.05
01/12/04,AFL,0.75
01/12/04,AGCO,6.92
01/12/04,AGEN,19.91
01/12/04,AGII,0.34
01/12/04,AGN,4.29
01/12/04,AGYS,3.35
01/12/04,AHL,0.13
01/12/04,AHPI,0.01
01/12/04,AHT,0.04
01/12/04,AI,1.38
01/12/04,AIG,0.92
01/12/04,AIN,1.61
01/12/04,AIQ,0.7
01/12/04,AIR,2.22
01/12/04,AIRM,2.07
01/12/04,AIRT,0.11
01/12/04,AIT,0.4
01/12/04,AIV,2.2
01/12/04,AJG,4.04
01/12/04,AJRD,3.95
01/12/04,AKAM,8.88
01/12/04,AKR,0.37
01/12/04,AKS,3.86
01/12/04,ALCO,0.34
01/12/04,ALE,0.58
01/12/04,ALG,0.13
01/12/04,ALGN,3.2
01/12/04,ALK,12.18
01/12/04,ALKS,4.68
01/12/04,ALL,1.1
01/12/04,ALOG,1.52
01/12/04,ALOT,0.03
01/12/04,ALR,1.29
01/12/04,ALTI,3.79
01/12/04,ALTR,3.3
01/12/04,ALTV,0.24
01/12/04,ALX,1.33
01/12/04,ALXN,5.87
01/12/04,AMAG,6.27
01/12/04,AMAT,1.88
01/12/04,AMCC,1.97
01/12/04,AMD,11.41
01/12/04,AME,1.38
01/12/04,AMED,2.83
01/12/04,AMG,6.59
01/12/04,AMGN,1.64
01/12/04,AMIC,0.33
01/12/04,AMKR,1.46
01/12/04,AMN,14.79
01/12/04,AMNB,0.3
01/12/04,AMOT,0.02
01/12/04,AMPH,0.89
01/12/04,AMRB,0.17
01/12/04,AMRI,8.64
01/12/04,AMS,0.11
01/12/04,AMSC,10.35
01/12/04,AMSWA,0.49
01/12/04,AMT,6.25
01/12/04,AMTD,2.38
01/12/04,AMWD,3.72
01/12/04,AMZN,8.46
01/12/04,AN,3.7
01/12/04,ANAD,3.23
01/12/04,ANAT,0.1
01/12/04,ANDE,0.03
01/12/04,ANF,5.86
01/12/04,ANH,1.23
01/12/04,ANIK,0.21
01/12/04,ANIP,0.06
01/12/04,ANN,5.51
01/12/04,ANSS,2
01/12/04,ANTM,11.61
01/12/04,AOI,0.4
01/12/04,AON,2.51
01/12/04,AOS,1.93
01/12/04,AP,0.18
01/12/04,APA,2.46
01/12/04,APAGF,0.04
01/12/04,APC,1.77
01/12/04,APD,0.75
01/12/04,APH,2.06
01/12/04,APL,0.2
01/12/04,APOG,1.31
01/12/04,APOL,2.08
01/12/04,APRI,0.99
01/12/04,APU,0.1
01/12/04,ARCB,2.42
01/12/04,ARDM,4.37
01/12/04,ARE,1.66
01/12/04,ARG,2.66
01/12/04,ARIA,2.04
01/12/04,ARKR,0.05
01/12/04,ARL,0.17
01/12/04,ARLP,0.09
01/12/04,ARLZ,1.04
01/12/04,ARNA,1.53
01/12/04,ARQL,0.98
01/12/04,ARRS,7.5
01/12/04,ARRY,1.11
01/12/04,ARTW,0.05
01/12/04,ARTX,6.02
01/12/04,ARW,2.38
01/12/04,ASB,0.75
01/12/04,ASBI,0.02
01/12/04,ASEI,3.75
01/12/04,ASFI,0.6
01/12/04,ASGN,1.98
01/12/04,ASH,2.52
01/12/04,ASNA,0.95
01/12/04,ASRV,0.01
01/12/04,ASTC,1.83
01/12/04,ASTE,0.82
01/12/04,ASUR,0.36
01/12/04,ASYS,0.12
01/12/04,ATEA,0.05
01/12/04,ATI,4.18
01/12/04,ATLC,3.51
01/12/04,ATML,1.28
01/12/04,ATNI,0.32
01/12/04,ATO,3.22
01/12/04,ATR,0.66
01/12/04,ATRI,0.43
01/12/04,ATRM,0.04
01/12/04,ATRO,0.12
01/12/04,ATTU,0.21
01/12/04,ATU,4.99
01/12/04,ATVI,3.6
01/12/04,ATW,6.17
01/12/04,AUDC,1.69
01/12/04,AUMN,5.01
01/12/04,AVA,3.41
01/12/04,AVB,3.47
01/12/04,AVD,0.64
01/12/04,AVHI,0.45
01/12/04,AVIR,1.57
01/12/04,AVNR,2.79
01/12/04,AVP,1.35
01/12/04,AVT,2.24
01/12/04,AVX,1.75
01/12/04,AVY,2.17
01/12/04,AWR,1.12
01/12/04,AWRE,8.05
01/12/04,AWX,0.04
01/12/04,AXAS,1.75
01/12/04,AXDX,0.28
01/12/04,AXE,5.01
01/12/04,AXL,2.2
01/12/04,AXLL,5.01
01/12/04,AXP,0.94
